UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
235097,Eastern Washington University,6018,73,10190,4431,8,
446233,Ecclesia College,135,96,10595,5500,,
248934,ECPI University,8297,68,6296,5722,,
238661,Edgewood College,1123,90,18252,4428,15,
243832,EDP University of Puerto Rico Inc-San Juan,689,55,5508,5266,,
241836,EDP University of Puerto Rico Inc-San Sebastian,571,63,5134,5038,,
212197,Elizabethtown College,1597,94,19576,4740,17,
426314,Embry-Riddle Aeronautical University-Worldwide,4124,44,2515,3172,,
232025,Emory & Henry University,1027,95,29675,4858,9,
217998,Erskine College,811,99,32542,4945,,
241951,Escuela de Artes Plasticas y Diseno de Puerto Rico,354,73,5171,5154,11,
385619,Everglades University,967,44,8136,6440,,
237367,Fairmont State University,2399,74,6647,4247,,
443058,Family of Faith Christian University,19,49,3501,2499,,
232089,Ferrum College,851,99,27498,4914,5,
220181,Fisk University,906,99,19074,5057,,
433660,Florida Gulf Coast University,10339,73,6699,4982,10,
218061,Francis Marion University,2519,72,9040,5020,,
205957,Franciscan University of Steubenville,2353,90,17583,4622,6,
212577,Franklin and Marshall College,1340,62,50919,5077,19,
441982,Franklin W Olin College of Engineering,361,95,39739,5057,20,
220215,Freed-Hardeman University,1715,95,13817,4619,7,
218070,Furman University,2206,96,35600,4780,20,
212601,Gannon University,2701,85,25212,5203,,
212656,Geneva College,1037,88,19309,4547,6,
208822,George Fox University,2329,91,22432,4925,6,
232186,George Mason University,16275,61,9810,4861,5,
447689,Georgia Gwinnett College,8762,80,6365,4762,5,
212674,Gettysburg College,2340,93,41523,4733,14,
449384,Gnomon,90,22,7514,6372,,
230889,Goddard College,130,89,7932,4005,,
235316,Gonzaga University,4931,99,26635,4627,11,
212805,Grove City College,1516,66,8255,,8,
212832,Gwynedd Mercy University,1497,84,19398,4916,5,
225201,Hallmark University,680,60,5423,5483,,
232256,Hampden-Sydney College,833,98,34975,4466,,
232265,Hampton University,2109,74,17983,4622,,
225247,Hardin-Simmons University,1439,97,21790,5302,6,
212911,Haverford College,660,46,55489,5273,21,
459851,Herzing University-Brookfield,317,91,6969,4183,,
459842,Herzing University-Kenosha,582,90,6685,4917,,
240392,Herzing University-Madison,1274,77,4868,4256,,
433536,Herzing University-New Orleans,343,92,5538,4813,,
386472,Herzing University-Orlando,642,88,5771,4616,,
232308,Hollins University,713,100,35602,4920,6,
212984,Holy Family University,2020,93,18237,4845,6,
225399,Houston Christian University,2596,93,23996,4891,,
225548,Howard Payne University,735,85,17838,4710,,
368443,Hussian College-Daymar College Clarksville,342,88,6425,5626,,
444255,Hussian College-Daymar College Murfreesboro,43,98,5997,4991,,
212993,Hussian College-Philadelphia,92,99,12941,5491,,
225575,Huston-Tillotson University,733,74,4119,2516,,
213011,Immaculata University,1038,66,14026,5017,8,
213020,Indiana University of Pennsylvania-Main Campus,7226,99,6739,4580,9,
242626,Inter American University of Puerto Rico-Aguadilla,3032,100,8108,5111,,
242635,Inter American University of Puerto Rico-Arecibo,2723,100,8242,5348,,
