UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
215105,University of the Arts,1388,99,27828,4989,29,
225627,University of the Incarnate Word,4259,88,20296,4851,,
243665,University of the Virgin Islands,852,62,5694,4670,,
206084,University of Toledo,10438,79,9446,5032,6,
207971,University of Tulsa,2640,97,36387,5248,10,
230764,University of Utah,25556,99,6313,4699,5,
216542,University of Valley Forge,437,86,15041,4838,6,
231174,University of Vermont,10273,88,18563,4706,16,
233897,University of Virginia's College at Wise,1183,65,11719,4934,6,
234076,University of Virginia-Main Campus,7747,45,23989,4858,9,
377555,University of Washington-Bothell Campus,2633,48,15629,4969,5,
236948,University of Washington-Seattle Campus,15147,42,15700,5080,7,
377564,University of Washington-Tacoma Campus,2904,67,15257,4947,5,
240268,University of Wisconsin-Eau Claire,7550,77,4663,4393,5,
240277,University of Wisconsin-Green Bay,3975,43,6920,4453,,
240329,University of Wisconsin-La Crosse,6295,67,4424,4325,8,
240444,University of Wisconsin-Madison,16758,48,12757,4847,8,
240453,University of Wisconsin-Milwaukee,13287,68,6805,4575,5,
240365,University of Wisconsin-Oshkosh,6663,51,4770,4222,,
240374,University of Wisconsin-Parkside,1978,59,7610,4483,8,
240462,University of Wisconsin-Platteville,3677,59,6218,4168,,
240471,University of Wisconsin-River Falls,3825,77,4671,4255,8,
240480,University of Wisconsin-Stevens Point,7156,96,4478,4494,8,
240417,University of Wisconsin-Stout,3605,54,6144,4237,8,
240426,University of Wisconsin-Superior,2047,93,4178,4331,11,
240189,University of Wisconsin-Whitewater,7106,73,4829,4389,10,
240727,University of Wyoming,7356,83,8328,4672,4,
216524,Ursinus College,1517,97,39064,4918,23,
206349,Ursuline College,577,87,21963,5134,,
230728,Utah State University,16651,69,8256,6351,7,
221999,Vanderbilt University,4667,66,49056,4867,15,
231165,Vermont State University,1087,75,11181,4399,,
223472,Vet Tech Institute of Houston,180,82,5449,4985,,
216597,Villanova University,3531,50,38902,4967,10,
234030,Virginia Commonwealth University,15675,73,11794,4871,8,
234085,Virginia Military Institute,1075,65,17109,4796,,
233921,Virginia Polytechnic Institute and State University,14957,50,8832,5006,10,
234155,Virginia State University,3563,91,11964,4641,,
234164,Virginia Union University,898,72,12717,5093,,
234173,Virginia Wesleyan University,1164,94,27000,4741,9,
449764,Visible Music College,191,79,6925,4748,,
240107,Viterbo University,1378,83,16716,4104,9,
215637,Walnut Hill College,224,87,5500,6300,,
206437,Walsh University,1246,76,24119,4775,16,
210304,Warner Pacific University,364,90,10764,5159,,
216667,Washington & Jefferson College,1140,99,36450,4850,7,
234207,Washington and Lee University,1161,63,50487,4808,,
236939,Washington State University,16763,69,11881,4781,6,
229780,Wayland Baptist University,1659,62,10360,4478,,
216694,Waynesburg University,1136,96,17618,4573,11,
216764,West Chester University of Pennsylvania,7674,53,5802,4569,5,
237932,West Liberty University,1343,64,9899,4794,,
229814,West Texas A & M University,5260,74,5411,5071,,
237899,West Virginia State University,1108,34,8953,4735,,
238032,West Virginia University,14672,75,11052,4847,8,
237950,West Virginia University Institute of Technology,946,58,9118,4752,9,
237969,West Virginia Wesleyan College,958,98,22047,4990,7,
210429,Western Oregon University,2591,72,7927,4657,5,
237011,Western Washington University,8616,61,8787,4445,11,
216807,Westminster College,1051,92,31360,4859,14,
230807,Westminster University,1119,96,27170,4991,13,
238078,Wheeling University,514,88,20993,4785,,
237057,Whitman College,1409,90,30263,4952,12,
237066,Whitworth University,2182,94,34208,5170,,
216852,Widener University,2712,98,27379,4740,,
206491,Wilberforce University,407,83,10782,4998,5,
216931,Wilkes University,1959,88,25197,4718,5,
210401,Willamette University,1172,95,28076,4671,13,
231624,William & Mary,3804,58,18578,5163,14,
216940,Williamson College of the Trades,243,100,33180,5101,,
206507,Wilmington College,972,94,16933,4701,9,
217013,Wilson College,713,73,14710,4795,12,
218964,Winthrop University,3397,86,12497,4883,9,
240338,Wisconsin Lutheran College,942,91,21052,4540,7,
206525,Wittenberg University,1247,97,39404,5215,17,
218973,Wofford College,1701,96,36082,5052,12,
369455,Worsham College of Mortuary Science,87,39,6529,6381,,
206613,Wright State University-Lake Campus,1102,77,5760,4926,5,
206604,Wright State University-Main Campus,5898,79,8515,5177,9,
206622,Xavier University,4588,89,26018,4971,10,
420325,Yeshiva D'monsey Rabbinical College,78,100,12092,6381,,
247773,Yeshiva Gedolah of Greater Detroit,53,98,9586,6868,,
455257,Yeshiva of Machzikai Hadas,370,100,14248,6413,,
441609,Yeshiva Shaarei Torah of Rockland,100,98,11605,7192,,
451398,Yeshiva Toras Chaim,195,85,14712,4997,,
451370,Yeshivas Be'er Yitzchok,68,100,11435,6971,,
405058,Yeshivas Novominsk,115,74,7896,7031,,
217040,Yeshivath Beth Moshe,30,83,11224,6477,,
217059,York College of Pennsylvania,3144,89,12048,4663,11,
206695,Youngstown State University,6795,72,7618,5277,5,
