UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV)
120883,University of the Pacific,3094,94,35304,5091,7
121150,Pepperdine University,3421,92,33245,4841,11
121257,Pitzer College,464,40,39968,5104,16
121309,Point Loma Nazarene University,3168,100,16826,4528,8
121345,Pomona College,985,56,55218,5088,21
121691,University of Redlands,2441,92,35364,4655,11
122409,San Diego State University,19108,61,8114,5229,5
122436,University of San Diego,4097,72,34473,5100,10
122506,San Francisco Conservatory of Music,226,100,29697,5574,5
122597,San Francisco State University,14039,60,8914,5060,6
122612,University of San Francisco,5267,88,27525,4953,9
122728,William Jessup University,1024,85,18374,4414,4
122755,San Jose State University,16148,57,8529,4651,
122931,Santa Clara University,4233,72,26351,4955,15
123165,Scripps College,1090,100,20909,5055,16
123280,Shasta Bible College and Graduate School,28,97,5142,2958,
123457,Simpson University,649,95,22676,5441,8
123554,Saint Mary's College of California,2061,94,32343,4882,14
123572,Sonoma State University,4159,63,7841,4647,7
123651,Vanguard University of Southern California,1793,91,25484,5228,6
123952,Southern California Institute of Architecture,122,48,23962,5048,
123961,University of Southern California,14211,68,43570,5217,
124292,Thomas Aquinas College,302,61,13457,5085,
125727,Westmont College,1218,98,33189,4717,10
125763,Whittier College,1242,99,35076,5196,6
125897,Woodbury University,892,95,22763,5028,7
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,132,93,17573,6109,
126182,Adams State University,1089,59,10146,4859,4
126359,Bel-Rea Institute of Animal Technology,113,52,7777,4996,4
126562,University of Colorado Denver/Anschutz Medical Campus,7916,55,8893,5413,10
126580,University of Colorado Colorado Springs,5307,53,7468,4451,5
126614,University of Colorado Boulder,17868,56,11017,5007,
126678,Colorado College,1274,57,45155,5061,22
126775,Colorado School of Mines,4517,83,11504,4415,7
126784,Colorado School of Trades,95,43,9579,5120,
126818,Colorado State University-Fort Collins,13365,54,11670,4564,6
127060,University of Denver,5349,91,31610,5085,24
127185,Fort Lewis College,3043,89,15796,4872,10
127556,Colorado Mesa University,6615,76,8434,5052,
127565,Metropolitan State University of Denver,16057,97,5100,4256,6
127653,Naropa University,276,85,22867,5437,
127741,University of Northern Colorado,7233,98,7813,5121,6
127918,Regis University,1930,70,21047,4525,5
128106,Colorado State University Pueblo,2452,62,9253,4546,
128328,United States Air Force Academy,,,,,
128391,Western Colorado University,1551,48,9835,4445,8
128498,Albertus Magnus College,821,80,19174,4858,5
128586,Bais Binyomin Academy,40,100,10726,6181,
128744,University of Bridgeport,1733,93,23001,4391,
128771,Central Connecticut State University,7571,98,6352,4509,7
128902,Connecticut College,1762,96,34994,4855,13
129020,University of Connecticut,15326,83,13180,5165,7
129215,Eastern Connecticut State University,3730,90,8626,4941,20
129242,Fairfield University,4124,90,24783,5012,26
129525,University of Hartford,3599,90,28651,4954,7
129774,Mitchell College,497,94,20235,4920,28
129941,University of New Haven,4772,95,24541,4955,16
130110,Paier College,125,59,6508,4199,
130226,Quinnipiac University,5940,94,28293,4766,16
130253,Sacred Heart University,6252,92,20192,4720,10
130314,University of Saint Joseph,855,94,25733,4969,
130493,Southern Connecticut State University,4469,66,6925,4760,11
130590,Trinity College,1294,60,50159,5100,
130624,United States Coast Guard Academy,,,,,
130697,Wesleyan University,1365,40,58506,5036,17
130776,Western Connecticut State University,2477,59,6277,4583,8
130794,Yale University,3728,57,60487,4984,22
130934,Delaware State University,3293,75,11149,5010,
130943,University of Delaware,13676,70,12518,4628,11
130989,Goldey-Beacom College,657,98,9791,4806,4
131159,American University,3980,47,30338,4937,13
131283,The Catholic University of America,2756,94,31865,4822,9
131450,Gallaudet University,917,91,22625,5155,14
131469,George Washington University,7344,64,34492,5012,
131496,Georgetown University,2952,39,46179,5163,12
131520,Howard University,8131,91,20762,5001,4
131876,Trinity Washington University,1292,90,17372,4735,
132408,Baptist University of Florida,248,59,6556,4317,
132471,Barry University,2761,83,21666,5332,12
132602,Bethune-Cookman University,2428,97,13183,5315,
132657,Lynn University,2452,93,18307,5046,23
132842,Albizu University-Miami,148,81,7553,6080,
132879,Johnson University Florida,141,95,11183,4874,6
132903,University of Central Florida,48612,81,7880,4848,
133492,Eckerd College,1998,98,25866,4805,14
133526,Edward Waters University,1071,99,12734,5743,7
133553,Embry-Riddle Aeronautical University-Daytona Beach,6249,70,21631,5074,7
133650,Florida Agricultural and Mechanical University,6819,93,11487,5429,
133669,Florida Atlantic University,15770,63,9005,6356,4
133711,Flagler College,2451,93,11057,4671,6
133809,Florida College,504,94,13370,4548,
133872,AdventHealth University,820,72,6146,3143,
133881,Florida Institute of Technology,2803,80,24751,4909,8
133951,Florida International University,27424,59,6634,5010,6
133979,Florida Memorial University,887,89,13080,5692,
134079,Florida Southern College,2646,94,27865,4819,11
134097,Florida State University,29336,87,9725,5087,20
134130,University of Florida,31013,89,9523,4795,10
134945,Jacksonville University,2368,89,28956,4779,4
135081,Keiser University-Ft Lauderdale,13017,72,7491,5191,
135364,Luther Rice College & Seminary,118,58,5383,4011,
135726,University of Miami,8176,68,37806,5115,5
136172,University of North Florida,13500,95,6183,5109,6
136215,Nova Southeastern University,6422,97,21349,5210,6
136330,Palm Beach Atlantic University,2161,76,20990,4757,9
136774,Ringling College of Art and Design,1612,97,17582,5274,10
136950,Rollins College,2341,92,32145,4947,12
137032,Saint Leo University,5259,78,12295,5182,8
137272,St. John Vianney College Seminary,4,11,3215,,
137351,University of South Florida,29429,77,9226,5440,
137476,St. Thomas University,1627,45,24848,4919,
137546,Stetson University,2769,96,39983,5271,7
137564,Southeastern University,4635,57,12913,4686,
137847,The University of Tampa,9837,100,12563,4612,8
137953,Trinity Baptist College,311,88,7199,4947,
137962,Trinity College of Florida,170,81,8404,5146,
138275,Warner University,727,93,18225,4949,
138293,Webber International University,820,97,18864,5284,
138354,University of West Florida,6744,72,8401,5984,
138558,Abraham Baldwin Agricultural College,3795,99,5542,4865,4
138600,Agnes Scott College,1031,97,33660,5180,25
138761,Andrew College,245,90,13013,4836,
138868,Point University,1165,69,4768,4496,
138947,Clark Atlanta University,2957,87,11498,5239,
139144,Berry College,2163,100,29742,4943,17
139199,Brenau University,1237,87,12361,4865,
139205,Brewton-Parker College,879,98,10480,5220,
139250,College of Coastal Georgia,2481,77,6386,5207,
139311,Clayton  State University,6013,98,5895,5263,
139366,Columbus State University,5933,92,7104,4695,
139393,Covenant College,832,95,24643,4449,12
