instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
University of California-San Diego,6,CA,1,1,1,2,1,1,1,2,38505,69282,25,22,94,33792,88,70,56,3,130771,32062,6986,,46042,1307,15265,11834,42611,,,32852,15086,17766
University of California-San Francisco,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of California-Santa Barbara,6,CA,1,1,1,2,1,1,1,2,40587,71364,28,16,92,23232,85,58,44,3,110871,30804,5014,,45742,1482,14965,11834,42611,,,22659,9687,12972
University of California-Santa Cruz,6,CA,1,1,1,2,1,2,1,2,40306,71083,63,10,90,17812,74,71,57,3,68845,43054,4365,,45337,1315,14560,11834,42611,,,17227,8286,8941
University of California-System Administration Central Office,6,CA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Central Arkansas,5,AR,1,1,1,1,1,1,1,2,25457,32597,90,29,73,7884,53,96,70,5,6589,5961,1731,4,17258,1230,10118,7140,14280,,,6519,2507,4012
University of Central Florida,12,FL,1,1,1,1,1,1,1,2,24668,40767,40,34,92,59470,75,91,39,1,60627,23961,7226,73,22467,1000,6368,4478,19810,,,41654,19070,22584
University of Central Missouri,29,MO,1,1,1,1,1,1,1,2,23803,32128,69,31,70,7203,49,98,92,5,4966,3407,1039,,18064,1250,9739,8325,16650,,,4927,2283,2644
University of Central Oklahoma,40,OK,1,1,1,1,1,1,1,2,27168,38055,82,47,66,10454,38,88,53,1,4945,4043,1793,0,19409,1600,8522,7284,18171,,,7866,2916,4950
University of Charleston,54,WV,1,1,1,1,1,1,1,2,48734,48734,65,24,69,2087,46,100,92,3,1635,1055,246,,32842,2000,32842,21110,21110,,,1151,509,642
University of Chicago,17,IL,1,1,1,1,1,1,1,2,90360,90360,5,88,99,7643,95,53,45,5,38631,1849,1626,46,66939,1800,66939,63801,63801,,,7617,4061,3556
University of Cincinnati-Blue Ash College,39,OH,1,1,0,2,2,2,2,1,,,,,,7166,15,86,48,,,,,,15790,1300,6992,6161,14959,,,3044,1322,1722
University of Cincinnati-Clermont College,39,OH,1,1,0,2,2,2,2,1,,,,,,8324,25,90,57,,,,,,13786,1300,6554,5712,12944,,,1111,514,597
University of Cincinnati-Main Campus,39,OH,1,1,1,1,1,1,1,2,33342,50354,88,24,86,31184,72,87,62,5,33165,29077,6842,11,30582,1300,13570,11228,26562,,,26296,13418,12878
University of Colorado Boulder,8,CO,1,1,1,1,1,2,1,2,37684,63197,83,16,89,32105,75,66,53,5,56069,46692,7443,20,41943,1200,16430,13910,40297,,,29840,15784,14056
University of Colorado Colorado Springs,8,CO,1,1,1,2,1,1,1,2,28190,38970,97,14,67,9398,45,85,63,5,13103,12653,1644,34,20492,1400,9712,8738,22255,,,7157,3466,3691
University of Colorado Denver/Anschutz Medical Campus,8,CO,1,1,0,2,2,2,2,2,32823,51015,78,14,71,14027,47,90,83,5,14569,11336,1500,24,28209,1460,10017,9096,27288,,,8335,3646,4689
University of Colorado System Office,8,CO,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Connecticut,9,CT,1,1,1,1,1,1,1,2,39682,62350,54,17,91,19388,84,83,75,1,46645,25164,4178,37,43034,990,20366,16332,39000,,,18838,8609,10229
University of Connecticut-Avery Point,9,CT,1,1,0,2,2,2,2,2,,,87,16,80,474,57,74,55,1,1245,1077,171,38,40130,990,17462,16332,39000,,,440,256,184
University of Connecticut-Hartford Campus,9,CT,1,1,0,2,2,2,2,2,,,86,22,78,1494,65,81,66,1,2804,2424,541,36,40120,990,17452,16332,39000,,,1405,745,660
University of Connecticut-Stamford,9,CT,1,1,0,2,2,2,2,2,40290,62958,80,11,78,2240,57,83,72,1,7121,5710,614,32,40140,990,17472,16332,39000,,,2061,1072,989
University of Connecticut-Waterbury Campus,9,CT,1,1,0,2,2,2,2,2,,,87,13,79,760,59,85,74,1,2137,1860,243,43,40130,990,17462,16332,39000,,,716,309,407
University of Dallas,48,TX,1,1,1,2,1,1,1,2,69860,69860,54,15,81,1427,68,100,100,5,4179,2265,347,30,50880,1500,50880,47300,47300,,,1376,617,759
University of Dayton,39,OH,1,1,1,1,1,1,1,2,67265,67265,62,14,89,8176,82,98,95,5,22747,14023,1893,10,47600,1000,47600,47600,47600,,,7902,4117,3785
University of Delaware,10,DE,1,1,1,1,1,1,1,2,33718,57358,65,19,90,19772,79,92,80,5,37690,24541,4530,24,39720,1000,16080,14040,37680,,,18084,7174,10910
University of Denver,8,CO,1,1,1,2,1,2,2,2,80536,80536,71,11,88,6415,78,100,99,5,19214,13679,1438,27,59340,1000,59340,58032,58032,,,5755,2563,3192
University of Detroit Mercy,26,MI,1,1,1,2,1,2,1,2,47490,47490,80,12,82,3352,68,100,100,5,5750,4608,527,50,32300,1376,32300,32300,32300,,,2129,772,1357
University of Dubuque,19,IA,1,1,1,1,1,1,1,2,54435,54435,87,24,71,1477,41,100,98,5,1560,1356,320,14,40065,1200,40065,38260,38260,,,1256,775,481
University of East-West Medicine,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of Evansville,18,IN,1,1,1,2,1,1,1,2,60286,60286,78,13,77,1741,71,100,100,3,4492,3488,462,,42676,1200,42676,41400,41400,,,1461,568,893
University of Florida,12,FL,1,1,1,1,1,1,1,2,22601,44879,24,43,97,34924,92,92,37,1,65375,15707,6726,79,28659,1050,6381,4477,25694,,,31571,13781,17790
University of Florida-Online,12,FL,1,1,1,1,1,1,1,2,,,64,89,94,5462,78,90,24,1,1440,927,733,74,16579,1050,3876,3358,15000,,,2507,1191,1316
University of Fort Lauderdale,12,FL,1,1,0,2,2,2,2,1,,,,,,260,75,80,49,,,,,,9810,1500,9810,9600,9600,,,27,20,7
University of Georgia,13,GA,1,1,1,1,1,1,1,2,28106,47146,37,38,95,31514,87,84,26,1,43419,16151,6121,61,30220,1002,11180,9790,28830,,,29799,12491,17308
University of Hartford,9,CT,1,1,1,2,1,1,1,2,66464,66464,83,11,79,4131,58,97,97,5,14253,11832,1307,21,47647,1460,47647,44350,44350,,,3841,1668,2173
University of Hawaii at Hilo,15,HI,1,1,1,2,1,1,1,2,21422,34382,90,16,70,2424,42,84,57,5,2562,2300,347,23,20798,1350,7838,7344,20304,,,1824,685,1139
University of Hawaii at Manoa,15,HI,1,1,1,1,1,1,1,2,32331,54363,70,23,75,14576,63,79,63,5,19211,13388,2872,2,34218,1350,12186,11304,33336,,,12068,4754,7314
University of Hawaii Maui College,15,HI,1,1,0,2,2,2,2,1,,,,,50,2647,27,57,31,,,,,,8420,1350,3284,3144,8280,,,602,222,380
University of Hawaii System Office,15,HI,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Hawaii-West Oahu,15,HI,1,1,0,2,2,2,2,2,,,96,33,69,2863,47,72,59,5,750,717,196,7,20544,1350,7584,7344,20304,,,1436,514,922
University of Health Sciences and Pharmacy in St. Louis,29,MO,1,1,0,2,1,1,1,2,55332,55332,75,13,63,275,75,100,100,5,1158,870,117,26,31920,1200,31920,31320,31320,,,271,118,153
University of Holy Cross,22,LA,1,1,0,2,2,2,2,2,33550,33550,99,8,69,806,36,93,74,3,404,400,32,,16160,1300,16160,14040,14040,,,265,53,212
University of Houston,48,TX,1,1,1,1,1,1,1,2,26734,39214,70,27,86,37946,65,83,56,5,30327,21087,5214,51,22191,1556,9711,8685,21165,,,27798,12964,14834
University of Houston-Clear Lake,48,TX,1,1,0,2,2,2,2,2,24376,37960,75,25,75,6108,51,76,45,5,2348,1768,356,75,21330,1026,7746,6600,20784,,,3208,1222,1986
University of Houston-Downtown,48,TX,1,1,0,2,2,2,2,2,,,91,24,67,12880,34,86,19,5,6953,6302,1343,43,17788,1296,7708,6080,16016,,,6277,2558,3719
University of Houston-System Administration,48,TX,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Houston-Victoria,48,TX,1,1,0,2,2,1,2,2,22751,32543,77,12,61,2707,27,86,63,5,1881,1443,149,36,17291,1158,7499,5111,14903,,,1180,449,731
University of Idaho,16,ID,1,1,1,1,1,2,1,2,23980,44948,79,19,75,9269,61,96,93,5,12222,9666,1825,64,29784,1232,8816,6540,27508,,,6873,3435,3438
University of Illinois Chicago,17,IL,1,1,1,2,1,1,1,2,36364,51386,79,23,78,22107,60,80,69,5,25420,19955,4565,29,29360,1400,14338,12656,28345,,,19961,9375,10586
University of Illinois Springfield,17,IL,1,1,1,2,1,1,1,2,28440,38205,84,12,81,2342,61,98,89,5,2495,2105,254,40,22017,1260,12252,9865,16853,,,1653,681,972
University of Illinois System Offices,17,IL,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Illinois Urbana-Champaign,17,IL,1,1,1,1,1,1,1,2,33642,52139,44,28,94,35564,85,61,45,5,67398,29446,8316,47,34501,1200,16004,14768,35900,,,34468,18132,16336
University of Indianapolis,18,IN,1,1,1,1,1,1,1,2,55702,55702,73,11,68,3957,56,100,100,3,9886,7193,802,,36136,1068,36136,34416,34416,,,2960,1178,1782
University of Iowa,19,IA,1,1,1,1,1,1,1,2,28596,50559,85,23,89,22130,73,88,70,5,25682,21746,5050,19,32927,950,10964,9016,30979,,,20622,9045,11577
University of Jamestown,38,ND,1,1,0,1,1,1,1,2,38240,38240,94,26,64,964,44,100,100,3,1047,979,251,,24820,1300,24820,24000,24000,,,899,530,369
University of Kansas,20,KS,1,1,1,1,1,1,1,2,27132,44844,88,31,85,20696,69,93,85,5,19226,16958,5159,11,29412,1224,11700,10596,28308,,,18262,8531,9731
University of Kentucky,21,KY,1,1,1,1,1,1,1,2,35098,55292,92,25,87,23930,70,97,89,5,28233,26083,6360,9,33406,1200,13212,11849,32043,,,21818,9172,12646
University of La Verne,6,CA,1,1,1,1,1,1,1,2,66454,66454,48,14,76,3352,65,100,97,5,10813,5242,737,24,47000,1152,47000,48300,48300,,,2891,1119,1772
University of Louisiana at Lafayette,22,LA,1,1,1,1,1,1,1,2,29176,42904,89,32,76,13179,52,96,59,5,10679,9486,3048,1,24146,1300,10418,5407,19135,,,11029,4652,6377
University of Louisiana at Monroe,22,LA,1,1,1,1,1,1,1,2,26648,38748,75,29,72,6550,51,99,86,1,4878,3637,1020,10,21290,1300,9190,5788,17888,,,4001,1488,2513
University of Louisiana-System Administration,22,LA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Louisville,21,KY,1,1,1,1,1,1,1,2,33706,50052,81,26,81,16194,61,97,82,5,14821,11937,2917,15,29174,1274,12828,12632,28978,,,11802,5185,6617
University of Lynchburg,51,VA,1,1,1,2,1,1,1,2,51840,51840,82,12,76,1792,62,100,100,5,4813,3956,473,18,35540,1000,35540,35540,35540,,,1559,593,966
University of Maine,23,ME,1,1,1,1,1,1,1,2,28572,51312,96,14,77,9267,56,98,95,3,13995,13395,1809,,35346,1000,12606,12000,34740,,,7297,3686,3611
University of Maine at Augusta,23,ME,1,1,0,2,2,2,2,1,22118,35048,,,63,4250,23,95,59,,,,,,21548,1200,8618,7560,20490,,,1291,381,910
University of Maine at Farmington,23,ME,1,1,1,2,1,1,1,2,26363,38453,98,18,79,1605,53,98,92,5,1306,1275,224,9,23079,960,10989,8910,21000,,,1008,362,646
